DOID:0001816	angiosarcoma	angiosarcoma|angiosarcoma non-metastatic|angiosarcoma nonmetastatic|angiosarcoma nos|angiosarcomas|haemangioendothelial sarcoma|haemangioendothelial sarcomas|haemangioendothelioma malignant|haemangiosarcoma|haemangiosarcoma nos|haemangiosarcomas|hemangioendothelial sarcoma|hemangioendothelial sarcomas|hemangioendothelioma malignant|hemangiosarcoma|hemangiosarcoma nos|hemangiosarcomas|localized angiosarcoma|localized angiosarcomas|malign haemangioendothelioma|malign haemangioendotheliomas|malign hemangioendothelioma|malign hemangioendotheliomas|malignant angioendothelioma|malignant angioendotheliomas|malignant haemangioendothelioma|malignant haemangioendotheliomas|malignant hemangioendothelioma|malignant hemangioendotheliomas|non-metastatic angiosarcoma|non-metastatic angiosarcomas|non-metastatic hemangiosarcoma|non-metastatic hemangiosarcomas
DOID:0050931	parotid gland adenoid cystic carcinoma	parotid gland adenoid cystic carcinoma|parotid gland adenoid cystic carcinomas
DOID:0050932	lung mucoepidermoid carcinoma	lung mucoepidermoid carcinoma|lung mucoepidermoid carcinomas
DOID:0050933	ovarian serous carcinoma	ovarian serous carcinoma|ovarian serous carcinomas
DOID:0050934	ovarian clear cell carcinoma	clear-cell ovarian carcinoma|clear-cell ovarian carcinomas|ovarian clear cell carcinoma|ovarian clear cell carcinomas
DOID:0050935	cervical neuroblastoma	cervical neuroblastoma|cervical neuroblastomas
DOID:0050936	extra-adrenal pheochromocytoma	extra-adrenal pheochromocytoma|extra-adrenal pheochromocytomas
DOID:0050937	retroperitoneal neuroblastoma	retroperitoneal neuroblastoma|retroperitoneal neuroblastomas
DOID:0050938	breast lobular carcinoma	breast lobular carcinoma|breast lobular carcinomas
DOID:0050939	uterine corpus endometrial carcinoma	uterine corpus endometrial carcinoma|uterine corpus endometrial carcinomas
DOID:0050940	endocervical adenocarcinoma	adenocarcinoma endocervix|adenocarcinoma of endocervix|endocervical adenocarcinoma|endocervical adenocarcinoma of cervix|endocervical adenocarcinomas
DOID:0060058	lymphoma	cancer of lymphatic system|germinoblastic sarcoma|germinoblastic sarcomas|germinoblastoma|germinoblastomas|lymphocytic and plasma cell neoplasm|lymphocytic and plasma cell neoplasms|lymphocytic and plasma cell tumor|lymphocytic and plasma cell tumors|lymphocytic and plasma cell tumour|lymphocytic and plasma cell tumours|lymphocytic and plasmacytic neoplasm|lymphocytic and plasmacytic neoplasms|lymphocytic neoplasm|lymphocytic neoplasms|lymphocytic tumor|lymphocytic tumors|lymphocytic tumour|lymphocytic tumours|lymphoid and plasma cell tumor|lymphoid and plasma cell tumors|lymphoid and plasma cell tumour|lymphoid and plasma cell tumours|lymphoid and plasmacytic neoplasm|lymphoid and plasmacytic neoplasms|lymphoid and plasmacytic tumor|lymphoid and plasmacytic tumors|lymphoid and plasmacytic tumour|lymphoid and plasmacytic tumours|lymphoid cancer|lymphoid cancers|lymphoid neoplasm|lymphoid neoplasms|lymphoid tumor|lymphoid tumors|lymphoid tumour|lymphoid tumours|lymphoma|lymphoma malignant|lymphoma morphology|lymphoma nos|lymphomas|lymphomas malignant|lymphomatous|lymphosarcoma|lymphosarcomas|malig.lymphoma nos-unspec site|malignant lymphoma|malignant lymphoma - category|malignant lymphoma nos|malignant lymphoma nos of unspecified site|malignant lymphomas|reticulolymphosarcoma|reticulolymphosarcomas
