DOID:0001816	angiosarcoma	angiosarcoma|angiosarcoma non-metastatic|angiosarcoma nonmetastatic|angiosarcoma nos|angiosarcomas|haemangioendothelial sarcoma|haemangioendothelial sarcomas|haemangioendothelioma malignant|haemangiosarcoma|haemangiosarcoma nos|haemangiosarcomas|hemangioendothelial sarcoma|hemangioendothelial sarcomas|hemangioendothelioma malignant|hemangiosarcoma|hemangiosarcoma nos|hemangiosarcomas|localized angiosarcoma|localized angiosarcomas|malign haemangioendothelioma|malign haemangioendotheliomas|malign hemangioendothelioma|malign hemangioendotheliomas|malignant angioendothelioma|malignant angioendotheliomas|malignant haemangioendothelioma|malignant haemangioendotheliomas|malignant hemangioendothelioma|malignant hemangioendotheliomas|non-metastatic angiosarcoma|non-metastatic angiosarcomas|non-metastatic hemangiosarcoma|non-metastatic hemangiosarcomas
DOID:4115	ovarian mesodermal adenosarcoma	ovarian adenosarcoma|ovarian adenosarcomas|ovarian mesodermal adenosarcoma|ovarian mesodermal adenosarcomas|ovarian mullerian adenosarcoma|ovarian mullerian adenosarcomas|ovarian müllerian adenosarcoma|ovarian müllerian adenosarcomas
DOID:4117	vaginal adenosarcoma	vaginal adenosarcoma|vaginal adenosarcomas|vaginal mullerian adenosarcoma|vaginal mullerian adenosarcomas|vaginal müllerian adenosarcoma|vaginal müllerian adenosarcomas
DOID:4136	myxosarcoma	myxosarcoma|myxosarcomas
DOID:4141	intraorbital meningioma	intraorbital meningioma|intraorbital meningiomas
DOID:4143	orbital cancer	malig neop orbit nos|malign neopl orbit|malignant neoplasm of orbit|malignant neoplasm of orbit nos|malignant neoplasm of the orbit|malignant orbit neoplasm|malignant orbit neoplasms|malignant orbit tumor|malignant orbit tumors|malignant orbit tumour|malignant orbit tumours|malignant orbital neoplasm|malignant orbital neoplasms|malignant orbital tumor|malignant orbital tumors|malignant orbital tumour|malignant orbital tumours|malignant tumor of orbit|malignant tumor of the orbit|malignant tumour of orbit|malignant tumour of the orbit|neoplasm of eye orbit|neoplasm of orbit|neoplasm of orbit nos|neoplasm of orbit proper|neoplasm of the orbit|orbit cancer|orbit cancers|orbit neoplasm|orbit neoplasms|orbit tumor|orbit tumors|orbit tumour|orbit tumours|orbital cancer|orbital cancers|orbital neopl|orbital neoplasia|orbital neoplasm|orbital neoplasms|orbital tumor|orbital tumors|orbital tumour|orbital tumours|tumor of orbit|tumor of the orbit|tumour of orbit|tumour of the orbit
DOID:4151	skull base chordoma	chordoma of skull base|chordoma of the skull base|skull base chordoma|skull base chordomas
DOID:4152	chondroid chordoma	chondroid chordoma|chondroid chordomas
DOID:4153	spinal chordoma	chordoma of spine|spinal chordoma|spinal chordomas
DOID:4159	skin cancer	ca - skin cancer|ca - skin cancers|cancer of skin|cancer of the skin|cancer skin|cancers skin|malignant neoplasm of skin|malignant neoplasm of skin nos|malignant neoplasm of the skin|malignant neoplasm skin|malignant neoplasm skin nos|malignant neoplasms of skin|malignant neosplasm of the skin|malignant skin neoplasm|malignant skin neoplasm nos|malignant skin neoplasms|malignant skin tumor|malignant skin tumors|malignant skin tumour|malignant skin tumours|malignant tumor of skin|malignant tumor of the skin|malignant tumour of skin|malignant tumour of the skin|melanoma and non-melanoma skin cancer|melanoma and non-melanoma skin cancers|skin cancer|skin cancers|skin malignant neoplasm nos|skin neoplasm malignant|skin neoplasm malignant nos|skin neoplasms malignant and unspecified|skin--cancer|skin--cancers
DOID:4160	differentiating neuroblastoma	differentiating neuroblastoma|differentiating neuroblastomas
DOID:4163	ganglioneuroblastoma	ganglioneuroblastoma|ganglioneuroblastomas
DOID:4164	cerebral neuroblastoma	cerebral hemispheric neuroblastoma|cerebral hemispheric neuroblastomas|cerebral neuroblastoma|cerebral neuroblastomas|malignant neuroblastoma of brain|neuroblastoma of brain|neuroblastoma of cerebral hemispheres|neuroblastoma of cerebrum|neuroblastoma of the cerebral hemisphere|neuroblastoma of the cerebral hemispheres|neuroblastoma of the cerebrum
DOID:4202	brain stem glioma	brain glioma stem|brain gliomas stem|brain stem glioma|brain stem gliomas|brain stem neuroglial neoplasm|brain stem neuroglial neoplasms|brain stem neuroglial tumor|brain stem neuroglial tumors|brain stem neuroglial tumour|brain stem neuroglial tumours|brainstem glioma|brainstem gliomas|brainstem neuroglial neoplasm|brainstem neuroglial neoplasms|brainstem neuroglial tumor|brainstem neuroglial tumors|brainstem neuroglial tumour|brainstem neuroglial tumours|glioma of brain stem|glioma of brainstem|glioma of the brain stem|glioma of the brainstem
DOID:4203	brain stem cancer	adult brain stem neoplasm|adult brain stem neoplasms|adult brain stem tumor|adult brain stem tumors|adult brain stem tumour|adult brain stem tumours|adult brainstem neoplasm|adult brainstem neoplasms|adult brainstem tumor|adult brainstem tumors|adult brainstem tumour|adult brainstem tumours|brain stem cancer|brain stem cancers|brain stem neopl|brain stem neopl primary|brain stem neoplasm|brain stem neoplasms|brain stem tumor|brain stem tumors|brain stem tumour|brain stem tumours|brainstem neopl|brainstem neopl primary|brainstem neoplasm|brainstem neoplasms|brainstem tumor|brainstem tumors|brainstem tumour|brainstem tumours|mal neo brain stem|malig neop brainstem nos|malignant brain stem neoplasm|malignant brain stem neoplasms|malignant brain stem tumor|malignant brain stem tumors|malignant brain stem tumour|malignant brain stem tumours|malignant brainstem neoplasm|malignant brainstem neoplasms|malignant brainstem tumor|malignant brainstem tumors|malignant brainstem tumour|malignant brainstem tumours|malignant neoplasm brainstem|malignant neoplasm of brain stem|malignant neoplasm of brainstem|malignant neoplasm of brainstem nos|malignant neoplasm of the brain stem|malignant neoplasm of the brainstem|malignant tumor of brain stem|malignant tumor of brainstem|malignant tumor of the brain stem|malignant tumor of the brainstem|malignant tumour of brain stem|malignant tumour of brainstem|malignant tumour of the brain stem|malignant tumour of the brainstem|neopl brain stem|neopl brainstem|neopl brainstem primary|neoplasm of adult brain stem|neoplasm of adult brainstem|neoplasm of brain stem|neoplasm of brainstem|neoplasm of the adult brain stem|neoplasm of the adult brainstem|neoplasm of the brain stem|neoplasm of the brainstem|primary brain stem neopl|primary brain stem neoplasm|primary brain stem neoplasms|primary brain stem tumor|primary brain stem tumors|primary brain stem tumour|primary brain stem tumours|primary brainstem neopl|primary brainstem neoplasm|primary brainstem neoplasms|tumor brain stem|tumor of adult brain stem|tumor of adult brainstem|tumor of brain stem|tumor of brainstem|tumor of the adult brain stem|tumor of the adult brainstem|tumor of the brain stem|tumor of the brainstem|tumour brain stem|tumour of adult brain stem|tumour of adult brainstem|tumour of brain stem|tumour of brainstem|tumour of the adult brain stem|tumour of the adult brainstem|tumour of the brain stem|tumour of the brainstem
DOID:4205	cerebellum cancer	cancer of cerebellum|cancer of the cerebellum|cerebellar cancer|cerebellar cancers|cerebellar neopl|cerebellar neopl malignant|cerebellar neoplasm|cerebellar neoplasms|cerebellar tumor|cerebellar tumor nos|cerebellar tumors|cerebellar tumour|cerebellar tumour nos|cerebellar tumours|cerebellum cancer|cerebellum cancers|mal neo cerebellum nos|malignant cerebellar neopl|malignant cerebellar neoplasm|malignant cerebellar neoplasms|malignant cerebellar tumor|malignant cerebellar tumors|malignant cerebellar tumour|malignant cerebellar tumours|malignant neoplasm of cerebellum|malignant neoplasm of cerebellum nos|malignant neoplasm of the cerebellum|malignant tumor of cerebellum|malignant tumor of the cerebellum|malignant tumour of cerebellum|malignant tumour of the cerebellum|neopl cerebellar|neopl cerebellar malignant|neoplasm of cerebellum|neoplasm of the cerebellum|tumor cerebellar|tumor of cerebellum|tumor of the cerebellum|tumour cerebellar|tumour of cerebellum|tumour of the cerebellum
DOID:4206	childhood brain stem neoplasm	childhood brain stem neoplasm|childhood brain stem neoplasms|childhood brain stem tumor|childhood brain stem tumors|childhood brain stem tumour|childhood brain stem tumours|childhood brainstem neoplasm|childhood brainstem neoplasms|childhood brainstem tumor|childhood brainstem tumors|childhood brainstem tumour|childhood brainstem tumours|childhood neoplasm of brain stem|childhood neoplasm of brainstem|childhood neoplasm of the brain stem|childhood neoplasm of the brainstem|childhood tumor of brain stem|childhood tumor of brainstem|childhood tumor of the brain stem|childhood tumor of the brainstem|childhood tumour of brain stem|childhood tumour of brainstem|childhood tumour of the brain stem|childhood tumour of the brainstem|pediatric brain stem neoplasm|pediatric brain stem neoplasms|pediatric brain stem tumor|pediatric brain stem tumors|pediatric brain stem tumour|pediatric brain stem tumours|pediatric brainstem neoplasm|pediatric brainstem neoplasms|pediatric brainstem tumor|pediatric brainstem tumors|pediatric brainstem tumour|pediatric brainstem tumours|pediatric neoplasm of brain stem|pediatric neoplasm of brainstem|pediatric neoplasm of the brain stem|pediatric neoplasm of the brainstem|pediatric tumor of brain stem|pediatric tumor of brainstem|pediatric tumor of the brain stem|pediatric tumor of the brainstem|pediatric tumour of brain stem|pediatric tumour of brainstem|pediatric tumour of the brain stem|pediatric tumour of the brainstem
DOID:4207	childhood infratentorial neoplasm	childhood infratentorial neoplasm|childhood infratentorial neoplasms|childhood infratentorial tumor|childhood infratentorial tumors|childhood infratentorial tumour|childhood infratentorial tumours|pediatric infratentorial neoplasm|pediatric infratentorial neoplasms|pediatric infratentorial tumor|pediatric infratentorial tumors|pediatric infratentorial tumour|pediatric infratentorial tumours
DOID:4209	brainstem intraparenchymal clear cell meningioma	brain stem intraparenchymal clear cell meningioma|brain stem intraparenchymal clear cell meningiomas|brainstem intraparenchymal clear cell meningioma|brainstem intraparenchymal clear cell meningiomas|intraparenchymal clear cell meningioma of brainstem|intraparenchymal clear cell meningioma of the brainstem
DOID:4210	clear cell meningioma	clear cell meningioma|clear cell meningiomas
DOID:4211	posterior fossa meningioma	meningioma of posterior cranial fossa|meningioma of the posterior cranial fossa|posterior cranial fossa meningioma|posterior cranial fossa meningiomas|posterior fossa meningioma|posterior fossa meningiomas
DOID:4217	malignant ovarian Brenner tumor	malignant brenner tumor|malignant brenner tumor of ovary|malignant brenner tumor of the ovary|malignant brenner tumors|malignant brenner tumour|malignant brenner tumour of ovary|malignant brenner tumour of the ovary|malignant brenner tumours|malignant ovarian brenner tumor|malignant ovarian brenner tumors|malignant ovarian brenner tumour|malignant ovarian brenner tumours|malignant ovarian transitional cell neoplasm|malignant ovarian transitional cell neoplasms|malignant ovarian transitional cell tumor|malignant ovarian transitional cell tumors|malignant ovarian transitional cell tumour|malignant ovarian transitional cell tumours
DOID:4226	endometrial stromal sarcoma	endometrial sarcoma|endometrial sarcomas|endometrial stromal sarcoma|endometrial stromal sarcomas|endometrioid stromal sarcoma|endometrioid stromal sarcomas|primary malignant stromal sarcoma of endometrium|sarcoma endometrium|sarcoma stromal|stromal sarcoma|stromal sarcoma of the corpus uteri|stromal sarcomas|undifferentiated endometrial sarcoma|undifferentiated endometrial sarcomas
DOID:4227	uterine corpus endometrial stromal sarcoma	uterine corpus endometrial stromal sarcoma|uterine corpus endometrial stromal sarcomas|uterine corpus endometrial stromal tumor|uterine corpus endometrial stromal tumors|uterine corpus endometrial stromal tumour|uterine corpus endometrial stromal tumours|uterine corpus ess
DOID:4230	smooth muscle cancer	cancer of smooth muscle|cancer of the smooth muscle|malignant neoplasm of smooth muscle|malignant neoplasm of the smooth muscle|malignant smooth muscle neoplasm|malignant smooth muscle neoplasms|malignant smooth muscle tumor|malignant smooth muscle tumors|malignant smooth muscle tumour|malignant smooth muscle tumours|malignant tumor of smooth muscle|malignant tumor of the smooth muscle|malignant tumour of smooth muscle|malignant tumour of the smooth muscle|smooth muscle cancer|smooth muscle cancers
DOID:4232	extraosseous Ewing sarcoma	extraosseous ewing sarcoma|extraosseous ewing sarcoma/peripheral primitive neuroectodermal tumor|extraosseous ewing sarcoma/peripheral primitive neuroectodermal tumors|extraosseous ewing sarcoma/peripheral primitive neuroectodermal tumour|extraosseous ewing sarcoma/peripheral primitive neuroectodermal tumours|extraosseous ewing sarcomas|extraosseous ewing's sarcoma|extraosseous ewing's sarcoma/peripheral primitive neuroectodermal tumor|extraosseous ewing's sarcoma/peripheral primitive neuroectodermal tumors|extraosseous ewing's sarcoma/peripheral primitive neuroectodermal tumour|extraosseous ewing's sarcoma/peripheral primitive neuroectodermal tumours|extraosseous ewing's sarcomas|extraskeletal ewing sarcom|extraskeletal ewing sarcoma/peripheral primitive neuroectodermal tumor|extraskeletal ewing sarcoma/peripheral primitive neuroectodermal tumors|extraskeletal ewing sarcoma/peripheral primitive neuroectodermal tumour|extraskeletal ewing sarcoma/peripheral primitive neuroectodermal tumours
DOID:4233	clear cell sarcoma	adult clear cell sarcoma of soft parts|adult clear cell sarcoma of soft tissue|adult soft part clear cell sarcoma|adult soft part clear cell sarcomas|clear cell sarcoma|clear cell sarcoma of soft parts|clear cell sarcoma of soft tissue|clear cell sarcoma of the tendons and aponeuroses|clear cell sarcomas|malig melanoma of soft tissue|malignant melanoma of soft parts|malignant melanoma of soft tissue|malignant melanoma of soft tissues|melanoma of soft parts|melanoma of soft tissue|melanoma of the soft parts|soft tissue neoplasm malignant melanoma|soft tissue neoplasm malignant melanomas
DOID:4235	spindle cell sarcoma	sarcoma spindle cell|spindle cell sarcoma|spindle cell sarcomas
DOID:4236	carcinosarcoma	carcinosarcoma|carcinosarcoma nos|carcinosarcomas|malignant mixed mesodermal tumor|malignant mixed mesodermal tumors|malignant mixed mesodermal tumour|malignant mixed mesodermal tumours|malignant mixed mullerian tumor|malignant mixed mullerian tumors|malignant mixed mullerian tumour|malignant mixed mullerian tumours|malignant mixed müllerian tumor|malignant mixed müllerian tumors|malignant mixed müllerian tumour|malignant mixed müllerian tumours|mesodermal mixed tumor|mesodermal mixed tumors|mesodermal mixed tumour|mesodermal mixed tumours|mixed mesodermal tumor|mixed mesodermal tumors|mixed mesodermal tumour|mixed mesodermal tumours|mixed mullerian tumor|mixed mullerian tumors|mixed mullerian tumour|mixed mullerian tumours|mixed müllerian tumor|mixed müllerian tumors|mixed müllerian tumour|mixed müllerian tumours|mmmt|mullerian mixed tumor|mullerian mixed tumors|mullerian mixed tumour|mullerian mixed tumours
DOID:4239	alveolar soft part sarcoma	adult alveolar soft part sarcoma|adult alveolar soft part sarcomas|adult alveolar soft-part sarcoma|adult alveolar soft-part sarcomas|alveolar soft part sarcoma|alveolar soft part sarcoma nos|alveolar soft part sarcoma of soft tissue|alveolar soft part sarcomas|alveolar soft tissue sarcoma|alveolar soft tissue sarcomas|alveolar soft-part sarcoma|alveolar soft-part sarcomas|asps|childhood alveolar soft part sarcoma|childhood alveolar soft part sarcomas|childhood alveolar soft-part sarcoma|childhood alveolar soft-part sarcomas|pediatric alveolar soft part sarcoma|pediatric alveolar soft part sarcomas|pediatric alveolar soft-part sarcoma|pediatric alveolar soft-part sarcomas
DOID:4242	kidney sarcoma	kidney sarcoma|kidney sarcomas|renal sarcoma|renal sarcomas|sarcoma of kidney|sarcoma of the kidney
DOID:4277	penis basal cell carcinoma	basal cell carcinoma of penis|basal cell carcinoma of the penis|penile basal cell carcinoma|penile basal cell carcinomas|penis basal cell carcinoma|penis basal cell carcinomas
DOID:4278	scrotum basal cell carcinoma	basal cell carcinoma of scrotum|basal cell carcinoma of the scrotum|scrotal basal cell carcinoma|scrotal basal cell carcinomas|scrotum basal cell carcinoma|scrotum basal cell carcinomas
DOID:4279	infundibulocystic basal cell carcinoma	infundibulocystic basal cell carcinoma|infundibulocystic basal cell carcinomas|skin infundibulocystic basal cell carcinoma|skin infundibulocystic basal cell carcinomas
DOID:4280	nodular basal cell carcinoma	circumscribed solid basal cell carcinoma|circumscribed solid basal cell carcinomas|nodular basal cell carcinoma|nodular basal cell carcinoma of skin|nodular basal cell carcinoma of the skin|nodular basal cell carcinomas|skin nodular basal cell carcinoma|skin nodular basal cell carcinomas|skin nodulo-ulcerative basal cell carcinoma|skin nodulo-ulcerative basal cell carcinomas
DOID:4281	metatypical basal cell carcinoma	basosquamous carcinoma of skin|metatypical basal cell carcinoma|metatypical basal cell carcinomas|skin metatypical basal cell carcinoma|skin metatypical basal cell carcinomas|skin metatypical carcinoma|skin metatypical carcinomas
DOID:4282	pigmented basal cell carcinoma	pigmented basal cell carcinoma|pigmented basal cell carcinomas|skin neoplasm malignant carcinoma basal cell pigmented|skin pigmented basal cell carcinoma|skin pigmented basal cell carcinomas
DOID:4283	anal margin basal cell carcinoma	anal margin basal cell carcinoma|anal margin basal cell carcinomas|basal cell carcinoma of anal margin|basal cell carcinoma of perianal skin|basal cell carcinoma of the anal margin|basal cell carcinoma of the perianal skin|perianal skin basal cell carcinoma|perianal skin basal cell carcinomas
DOID:4284	anal margin carcinoma	anal carcinoma cell squamous|anal margin carcinoma|anal margin carcinoma nos|anal margin carcinomas|carcinoma of anal margin|carcinoma of the anal margin|perianal skin carcinoma|perianal skin carcinomas|squamous cell carcinoma anal
DOID:4286	skin nasal cell carcinoma with sebaceous differentiation	sebaceous basal cell carcinoma|sebaceous basal cell carcinomas|skin basosebaceous basal cell carcinoma|skin basosebaceous basal cell carcinomas|skin nasal cell carcinoma with sebaceous differentiation
DOID:4287	external ear basal cell carcinoma	basal cell carcinoma of external ear|basal cell carcinoma of the external ear|external ear basal cell carcinoma|external ear basal cell carcinomas
DOID:4288	external ear carcinoma	carcinoma of external ear|carcinoma of the external ear|external ear carcinoma|external ear carcinomas
DOID:4289	micronodular basal cell carcinoma	micronodular basal cell carcinoma|micronodular basal cell carcinomas|skin micronodular basal cell carcinoma|skin micronodular basal cell carcinomas
DOID:4290	adamantinoid basal cell epithelioma	adamant basal cell epithelioma|adamant basal cell epitheliomas|adamantinoid basal cell carcinoma|adamantinoid basal cell carcinomas|adamantinoid basal cell epithelioma|adamantinoid basal cell epitheliomas|basal cell carcinoma - adamantinoid|malignant neoplasm carcinoma basal cell adamantinoid|melanotic adamantinoma of skin|melanotic ameloblastoma of skin|melanotic ameloblastoma skin|skin adamantinoid basal cell carcinoma|skin adamantinoid basal cell carcinomas|skin adamantinoid basal cell epithelioma|skin adamantinoid basal cell epitheliomas
DOID:4291	fibroepithelial basal cell carcinoma	fibroepithelial basal cell ca|fibroepithelial basal cell carcinoma|fibroepithelial basal cell carcinomas|fibroepithelioma|fibroepithelioma of pinkus|fibroepithelioma of pinkus type|fibroepithelioma pinkus|fibroepitheliomas|pinkus tumor|pinkus tumors|pinkus tumour|pinkus tumours|skin fibroepithelial basal cell carcinoma|skin fibroepithelial basal cell carcinomas|skin neoplasm malignant carcinoma basal cell fibroepithelioma of pinkus
DOID:4292	morpheaform basal cell carcinoma	basal cell carcinoma - morpheic|basal cell carcinoma - morphoe|basal cell carcinoma - morphoeic|basal cell carcinoma - sclerosing type|basal cell carcinoma sclerosing type|cicatricial basal-cell carcinoma|cicatricial basal-cell carcinomas|cicatrising basal cell carcinoma|cicatrising basal cell carcinomas|malignant neoplasm carcinoma basal cell morpheic|morphea-type basal cell carcinoma|morphea-type basal cell carcinomas|morpheaform basal cell carcinoma|morpheaform basal cell carcinomas|morpheic basal cell carcinoma|morpheic basal cell carcinomas|morphoeaform basal cell carcinoma|morphoeaform basal cell carcinomas|sclerosing type basal cell carcinoma|sclerosing type basal cell carcinomas|skin sclerosing/morphoeic basal cell carcinoma|skin sclerosing/morphoeic basal cell carcinomas
DOID:4293	clear cell basal cell carcinoma	clear cell basal cell carcinoma|clear cell basal cell carcinomas|skin clear cell basal cell carcinoma|skin clear cell basal cell carcinomas
DOID:4294	adenoid basal cell carcinoma	adenoid basal cell carcinoma|adenoid basal cell carcinomas|skin adenoid basal cell carcinoma|skin adenoid basal cell carcinomas
DOID:4295	follicular basal cell carcinoma	follicular basal cell carcinoma|follicular basal cell carcinomas|skin follicular basal cell carcinoma|skin follicular basal cell carcinomas
DOID:4299	infiltrative basal cell carcinoma	infiltrative basal cell carcinoma|infiltrative basal cell carcinomas|skin infiltrating basal cell carcinoma|skin infiltrating basal cell carcinomas
DOID:4300	superficial basal cell carcinoma	basal cell carcinoma superficial|multicentric basal cell ca|multicentric basal cell carcinoma|multicentric basal cell carcinomas|multifocal basal cell carcinoma|multifocal basal cell carcinomas|multifocal superficial basal cell carcinoma|multifocal superficial basal cell carcinomas|skin neoplasm malignant carcinoma basal cell superficial|superficial basal cell carcinoma|superficial basal cell carcinomas|superficial multicentric basal-cell carcinoma|superficial multicentric basal-cell carcinomas|superficial multifocal basal cell carcinoma|superficial multifocal basal cell carcinomas
DOID:4301	vulva basal cell carcinoma	basal cell carcinoma of the vulva|basal cell carcinoma of vulva|vulva basal cell carcinoma|vulva basal cell carcinomas|vulvar basal cell carcinoma|vulvar basal cell carcinomas
DOID:4302	cystic basal cell carcinoma	cystic basal cell carcinoma|cystic basal cell carcinomas|skin cystic basal cell carcinoma|skin cystic basal cell carcinomas|skin neoplasm malignant carcinoma basal cell cystic
DOID:4303	sarcomatoid basal cell carcinoma	sarcomatoid basal cell carcinoma|sarcomatoid basal cell carcinomas|skin basal cell carcinoma with sarcomatoid differentiation|skin sarcomatoid basal cell carcinoma|skin sarcomatoid basal cell carcinomas
DOID:4304	signet ring basal cell carcinoma	signet ring basal cell carcinoma|signet ring basal cell carcinomas|signet ring cell basal cell carcinoma|signet ring cell basal cell carcinomas|skin signet ring cell basal cell carcinoma|skin signet ring cell basal cell carcinomas|skin signet-ring cell basal cell carcinoma|skin signet-ring cell basal cell carcinomas
DOID:4320	non-gestational choriocarcinoma	non gestational choriocarcinoma|non gestational choriocarcinomas|non-gestational choriocarcinoma|non-gestational choriocarcinomas
DOID:4334	splenic manifestation of prolymphocytic leukemia	splenic manifestation of prolymphocytic leukaemia|splenic manifestation of prolymphocytic leukaemias|splenic manifestation of prolymphocytic leukemia|splenic manifestation of prolymphocytic leukemias
DOID:4352	ciliary body cancer	ciliary body cancer|ciliary body cancers|ciliary body mass|ciliary body neoplasm|ciliary body neoplasms|ciliary body tumor|ciliary body tumors|ciliary body tumour|ciliary body tumours|eye neoplasm ciliary body|malig neop ciliary body|malignant ciliary body neoplasm|malignant ciliary body neoplasms|malignant ciliary body tumor|malignant ciliary body tumors|malignant ciliary body tumour|malignant ciliary body tumours|malignant neoplasm of ciliary body|malignant neoplasm of the ciliary body|malignant tumor ciliary body|malignant tumor of ciliary body|malignant tumor of the ciliary body|malignant tumour ciliary body|malignant tumour of ciliary body|malignant tumour of the ciliary body|neoplasm of ciliary body|neoplasm of the ciliary body|tumor of ciliary body|tumor of the ciliary body|tumour of ciliary body|tumour of the ciliary body
DOID:4359	amelanotic melanoma	amelanotic melanoma|amelanotic melanomas
DOID:436	posterior mediastinum cancer	cancer of posterior mediastinum|mal neo post mediastinum|malignant neoplasm of posterior mediastinum|malignant neoplasm of posterior of mediastinum|malignant tumor of posterior of mediastinum|malignant tumour of posterior of mediastinum|posterior mediastinum|posterior mediastinum cancer|posterior mediastinum cancers
DOID:4360	epithelioid cell melanoma	epithelioid cell malignant melanoma|epithelioid cell malignant melanomas|epithelioid cell melanoma|epithelioid cell melanomas|epithelioid cell melanosarcoma|epithelioid cell melanosarcomas|epithelioid melanoma|epithelioid melanomas
DOID:4362	cervical cancer	ca cervix|cancer of cervix|cancer of the cervix|cancer of the uterine cervix|cervical ca|cervical cancer|cervical cancers|cervical neopl|cervical neoplasm|cervical neoplasm malignant cervix uteri|cervical neoplasm nos|cervical neoplasms|cervical tumor|cervical tumors|cervical tumour|cervical tumours|cervix cancer|cervix cancers|cervix neopl|cervix neoplasm|cervix neoplasms|cervix neoplasms malignant|cervix tumor|cervix tumors|cervix tumour|cervix tumours|cervix uteri cancer|cervix uteri cancers|cervix uteri neoplasm|cervix uteri neoplasms|cervix uteri tumor|cervix uteri tumors|cervix uteri tumour|cervix uteri tumours|cervix uteri--cancer|cervix uteri--cancers|mal neo cervix uteri nos|malig neop cervix uteri|malig neop cervix uteri nos|malignant cervical neoplasm|malignant cervical neoplasms|malignant cervical tumor|malignant cervical tumors|malignant cervical tumour|malignant cervical tumours|malignant cervix neoplasm|malignant cervix neoplasms|malignant cervix tumor|malignant cervix tumors|malignant cervix tumour|malignant cervix tumours|malignant cervix uteri neoplasm|malignant cervix uteri neoplasms|malignant cervix uteri tumor|malignant cervix uteri tumors|malignant cervix uteri tumour|malignant cervix uteri tumours|malignant neoplasm cervix|malignant neoplasm of cervix|malignant neoplasm of cervix uteri|malignant neoplasm of cervix uteri nos|malignant neoplasm of the cervix|malignant neoplasm of the cervix uteri|malignant neoplasm of the uterine cervix|malignant neoplasm of uterine cervix|malignant neosplasm of the cervix|malignant tumor of cervix|malignant tumor of cervix uteri|malignant tumor of the cervix|malignant tumor of the cervix uteri|malignant tumor of the uterine cervix|malignant tumor of uterine cervix|malignant tumour of cervix|malignant tumour of cervix uteri|malignant tumour of the cervix|malignant tumour of the cervix uteri|malignant tumour of the uterine cervix|malignant tumour of uterine cervix|malignant uterine cervix neoplasm|malignant uterine cervix neoplasms|malignant uterine cervix tumor|malignant uterine cervix tumors|malignant uterine cervix tumour|malignant uterine cervix tumours|neopl cervical|neopl cervix|neoplasm cervix|neoplasm of cervix|neoplasm of cervix uteri|neoplasm of the cervix|neoplasm of the cervix uteri|neoplasm of the uterine cervix|neoplasm of uterine cervix|neoplasm uterine cervix|tumor of cervix|tumor of cervix uteri|tumor of the cervix|tumor of the cervix uteri|tumor of the uterine cervix|tumor of uterine cervix|tumour of cervix|tumour of cervix uteri|tumour of the cervix|tumour of the cervix uteri|tumour of the uterine cervix|tumour of uterine cervix|uterine cervical cancer|uterine cervical cancers|uterine cervical neopl|uterine cervical neoplasm|uterine cervical neoplasms|uterine cervix cancer|uterine cervix cancers|uterine cervix neoplasm|uterine cervix neoplasms|uterine cervix tumor|uterine cervix tumors|uterine cervix tumour|uterine cervix tumours
DOID:4364	malignant breast melanoma	breast melanoma|breast melanomas|malignant breast melanoma|malignant breast melanomas|malignant melanoma of breast|malignant melanoma of the breast
DOID:4384	orbit alveolar rhabdomyosarcoma	alveolar rhabdomyosarcoma of orbit|alveolar rhabdomyosarcoma of the orbit|orbit alveolar rhabdomyosarcoma|orbit alveolar rhabdomyosarcomas|orbit rhabdomyosarcoma alveolar
DOID:4385	papillary squamous carcinoma	papillary epidermoid carcinoma|papillary epidermoid carcinomas|papillary epidermoid cell carcinoma|papillary epidermoid cell carcinomas|papillary squamous carcinoma|papillary squamous carcinomas|papillary squamous cell ca|papillary squamous cell carcinoma|papillary squamous cell carcinomas
DOID:4388	bone peripheral neuroepithelioma	bone peripheral neuroepithelioma|bone peripheral neuroepitheliomas|osseous peripheral neuroepithelioma|osseous peripheral neuroepitheliomas|peripheral neuroectodermal tumor of bone|peripheral neuroectodermal tumor of the bone|peripheral neuroectodermal tumour of bone|peripheral neuroectodermal tumour of the bone|peripheral neuroepithelioma of bone|peripheral neuroepithelioma of bone nos|peripheral neuroepithelioma of the bone|peripheral primitive neuroectodermal bone tumor|peripheral primitive neuroectodermal bone tumors|peripheral primitive neuroectodermal bone tumour|peripheral primitive neuroectodermal bone tumours|peripheral primitive neuroectodermal tumor of bone|peripheral primitive neuroectodermal tumour of bone|pnet of bone stage unspecified
DOID:4389	soft tissue peripheral neuroepithelioma	peripheral neuroectodermal tumor of soft tissue|peripheral neuroectodermal tumor of soft tissues|peripheral neuroectodermal tumor of the soft tissues|peripheral neuroectodermal tumour of soft tissue|peripheral neuroectodermal tumour of soft tissues|peripheral neuroectodermal tumour of the soft tissues|peripheral neuroepithelioma of soft tissue|peripheral neuroepithelioma of soft tissues|peripheral neuroepithelioma of the soft tissues|peripheral primitive neuroectodermal tumor of soft tissue|peripheral primitive neuroectodermal tumor of soft tissues|peripheral primitive neuroectodermal tumour of soft tissue|peripheral primitive neuroectodermal tumour of soft tissues|soft tissue peripheral neuroepithelioma|soft tissue peripheral neuroepitheliomas
DOID:4413	cervix melanoma	cervical melanoma|cervical melanomas|cervix melanoma|cervix melanomas|melanoma of the cervix
